,pro ro wnd ec00 mwh/h cet min15 f 2026-01-13T00:00:00+01:00
2026-01-14 15:45:00+01:00,183.0695786328956
2026-01-14 16:00:00+01:00,183.8677519558091
2026-01-14 16:15:00+01:00,188.62535593310804
2026-01-14 16:30:00+01:00,193.38295991040698
2026-01-14 16:45:00+01:00,198.14056388770592
2026-01-14 17:00:00+01:00,202.89816786500487
2026-01-14 17:15:00+01:00,216.53213882337934
2026-01-14 17:30:00+01:00,230.16610978175382
2026-01-14 17:45:00+01:00,243.8000807401283
2026-01-14 18:00:00+01:00,257.43405169850274
2026-01-14 18:15:00+01:00,280.71071546446757
2026-01-14 18:30:00+01:00,303.98737923043234
2026-01-14 18:45:00+01:00,327.2640429963971
2026-01-14 19:00:00+01:00,350.54070676236194
2026-01-14 19:15:00+01:00,376.32027343607444
2026-01-14 19:30:00+01:00,402.09984010978695
2026-01-14 19:45:00+01:00,427.8794067834996
2026-01-14 20:00:00+01:00,453.658973457212
2026-01-14 20:15:00+01:00,475.05209893397256
2026-01-14 20:30:00+01:00,496.44522441073315
2026-01-14 20:45:00+01:00,517.8383498874937
2026-01-14 21:00:00+01:00,539.2314753642543
2026-01-14 21:15:00+01:00,555.1478766288785
2026-01-14 21:30:00+01:00,571.0642778935029
2026-01-14 21:45:00+01:00,586.9806791581271
2026-01-14 22:00:00+01:00,602.8970804227515
2026-01-14 22:15:00+01:00,617.4363883282126
2026-01-14 22:30:00+01:00,631.9756962336737
2026-01-14 22:45:00+01:00,646.5150041391348
2026-01-14 23:00:00+01:00,661.0543120445959
2026-01-14 23:15:00+01:00,678.9915762140981
2026-01-14 23:30:00+01:00,696.9288403836003
2026-01-14 23:45:00+01:00,714.8661045531026
2026-01-15 00:00:00+01:00,732.8346058408267
2026-01-15 00:15:00+01:00,755.7955930640992
2026-01-15 00:30:00+01:00,778.7565802873719
2026-01-15 00:45:00+01:00,801.7175675106445
2026-01-15 01:00:00+01:00,824.678554733917
2026-01-15 01:15:00+01:00,854.7215015868339
2026-01-15 01:30:00+01:00,884.7644484397509
2026-01-15 01:45:00+01:00,914.8073952926678
2026-01-15 02:00:00+01:00,944.8503421455848
2026-01-15 02:15:00+01:00,973.0480992487416
2026-01-15 02:30:00+01:00,1001.2458563518982
2026-01-15 02:45:00+01:00,1029.443613455055
2026-01-15 03:00:00+01:00,1057.6413705582117
2026-01-15 03:15:00+01:00,1076.3749589997385
2026-01-15 03:30:00+01:00,1095.1085474412653
2026-01-15 03:45:00+01:00,1113.842135882792
2026-01-15 04:00:00+01:00,1132.5757243243188
2026-01-15 04:15:00+01:00,1136.4672574705555
2026-01-15 04:30:00+01:00,1140.358790616792
2026-01-15 04:45:00+01:00,1144.2503237630287
2026-01-15 05:00:00+01:00,1148.1418569092655
2026-01-15 05:15:00+01:00,1138.6974963068376
2026-01-15 05:30:00+01:00,1129.2531357044095
2026-01-15 05:45:00+01:00,1119.8087751019814
2026-01-15 06:00:00+01:00,1110.3644144995535
